tid,tconst,averageRating,numVotes
1281,tt12532348,4.5,86
1283,tt12534530,4.7,68
1284,tt12532692,8.1,16
1286,tt12539430,5.3,192
1287,tt12533047,7.3,15
1288,tt12531826,7.5,1153
1289,tt12531262,4.8,8
1290,tt12532983,8.5,12
1291,tt1418725,8.2,16
1292,tt0457495,5.1,22995
1293,tt1100032,6.0,5
1294,tt12537039,5.0,313
1295,tt12542933,6.1,0
1297,tt5643380,6.4,1810
1298,tt2235356,8.3,7
1299,tt12536103,4.2,9
1300,tt4839424,1.1,122
1302,tt12531523,7.8,9
1304,tt12531893,6.2,8
1305,tt12536599,6.4,11
1307,tt3114132,6.7,4077
1308,tt12539620,6.0,6
1309,tt12541330,3.5,133
1310,tt12533309,7.9,66
1313,tt12537139,5.7,8
1314,tt12541755,4.9,152
1315,tt12531624,6.7,3
1317,tt12539367,7.4,19
1318,tt12540484,7.9,18
1319,tt0298835,7.2,5
1320,tt12536748,5.2,10
1325,tt0245001,7.8,20
1326,tt12536928,7.5,8
1327,tt0339725,6.7,333
1328,tt9092600,2.8,24
1332,tt8594582,3.9,83
1334,tt12533818,8.0,5
1339,tt12540259,8.4,747
1341,tt12533086,4.0,20
1342,tt0888682,7.3,9
1343,tt12543649,7.6,21
1345,tt12536310,6.0,4498
1348,tt12532054,7.4,7
1349,tt12531394,6.0,37
1350,tt12541552,7.5,17
1351,tt12540369,7.4,215
1352,tt12539975,8.0,8
1353,tt12536749,5.5,10
1356,tt12536236,5.0,58
1358,tt12536598,6.4,10
1359,tt12543366,6.1,11
1361,tt12541801,6.6,132
1362,tt12537204,7.7,6
1363,tt12538586,8.1,46
1364,tt12538967,5.0,290
1365,tt12543015,7.4,8
1367,tt0351716,6.5,24
1368,tt12542281,6.2,125
1369,tt12542140,4.7,6
1370,tt12540765,4.0,17
1372,tt12534253,6.2,10
1376,tt3281770,9.1,10
1378,tt12534399,5.4,435
1379,tt12543031,5.4,6
1380,tt12532586,5.8,14
1381,tt5210858,5.1,14
1382,tt10445464,1.5,11
1383,tt12536079,5.3,6
1385,tt12532263,6.8,33
1386,tt12544284,7.5,8
1387,tt12541620,7.2,8
1388,tt12543922,5.6,14
1389,tt12533954,7.9,258
1390,tt12537199,4.6,60
1391,tt1984239,4.9,8
1392,tt0413366,3.1,37
1393,tt0103742,7.5,26
1394,tt12539562,7.2,255
1396,tt12542408,6.9,20
1397,tt12543817,6.5,38
1399,tt12536993,5.9,9662
1401,tt0328820,5.0,68
1402,tt1708505,4.2,11
1403,tt12532974,6.5,4
1404,tt0261562,6.4,48
1406,tt12538637,6.3,14
1407,tt0402526,6.7,27
1408,tt12544760,5.4,97
1409,tt12540957,4.8,128
1411,tt3272232,6.2,5
1413,tt12539709,7.6,68
1414,tt12537962,6.9,56
1416,tt12545805,7.4,3
1419,tt7379228,6.9,12
1421,tt12531056,9.0,10
1424,tt1844092,7.1,17
1425,tt12544945,8.0,25
1428,tt12540675,5.2,0
1431,tt12534638,5.5,9
1432,tt5916942,5.7,16
1433,tt12538636,5.9,11
1435,tt12545337,3.5,552
1437,tt12531847,6.6,9
1439,tt12533046,5.3,40
1440,tt12541064,5.5,14
1441,tt1372681,5.0,835
1442,tt0924401,6.6,23
1443,tt12545742,7.0,6
1445,tt7651698,7.0,53
1446,tt12542684,5.8,35
1447,tt0231934,7.8,5
1448,tt0303076,5.9,102
1449,tt2591600,6.6,16
1451,tt12540082,7.4,48
1452,tt12538381,7.0,867
1453,tt1781772,8.9,17
1454,tt0271887,6.5,29
1455,tt12535615,7.0,22
1456,tt0808256,6.7,9
1457,tt12544186,7.0,0
1458,tt12537437,8.1,1
1459,tt5592768,6.2,13
1460,tt12534571,6.2,8
1461,tt12534974,6.4,24
1463,tt12535579,7.8,38
1464,tt12542909,5.6,191
1467,tt12534758,3.8,298
1468,tt0316481,7.7,15
1469,tt0887279,5.5,8
1471,tt12533069,6.8,14
1473,tt12532014,6.4,7
